_id,user_id,study_start_time,study_end_time,__v
65fb4072eddf897ea3091aad,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,2024-03-20 19:49:29,2024-03-20 20:00:50.579,0
65fb5b4172a34e612b78e723,e0711a26-c616-463c-9b05-f0afaf871f31,2024-03-20 20:31:31,2024-03-20 21:55:13.205,0
65fbdb02bfa874c7f4238d03,15c09788-9078-4e28-9ec0-91d634c5b9ca,2024-03-21 06:29:27,2024-03-21 07:00:18.547,0
65fbe6eeb5085a8eea447529,34f7c191-ff70-407c-b818-49e35cbb068f,2024-03-21 07:36:09,2024-03-21 07:51:10.331,0
65fbf3b055a41b477058a792,2fbf76df-1101-4ac6-b75b-f49df2266232,2024-03-21 08:13:24,2024-03-21 08:45:35.568,0
65fbf7c655a41b477058a7a4,fe53df51-c33e-4114-986c-c9efcca99259,2024-03-21 08:24:44,2024-03-21 09:03:01.857,0
65fc04050b43e64c1851bded,525d6692-2c89-4871-b945-28f5d35a789b,2024-03-21 09:44:19,2024-03-21 09:55:17.354,0
65fc115ea7cb0f6660550c7c,d235cab9-2a67-4667-8857-a51566cffaf7,2024-03-21 10:33:52,2024-03-21 10:52:14.734,0
65fc2cf87c343b1278a82a43,7c2b4159-df97-40a1-8376-23df2a4711ba,2024-03-21 12:14:30,2024-03-21 12:49:59.447,0
65fc41349794d7470f1409b7,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,2024-03-21 13:24:41,2024-03-21 14:16:20.381,0
65fc56b0e39a158fac2806c3,c5902c7b-a503-4f84-9636-0676d4234518,2024-03-21 15:34:09,2024-03-21 15:48:00.112,0
65fd55797d88869ed14fdc63,8331280f-4b3b-4285-8158-35a2fc40b5df,2024-03-22 09:36:52,2024-03-22 09:55:05.100,0
65fd57817d88869ed14fdc8b,688dc852-0a3a-4a45-a330-da102bc628ef,2024-03-22 08:36:23,2024-03-22 10:03:45.138,0
65fd5fe9d4a80ca04989bebe,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,2024-03-22 10:26:49,2024-03-22 10:39:38.550,0
65fefbc88808b5e176f862a0,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,2024-03-23 15:38:54,2024-03-23 15:56:55.987,0
65fefc208808b5e176f862ac,9ce6999c-15de-45d1-a192-52b826bb7129,2024-03-23 15:40:10,2024-03-23 15:58:24.853,0
65fffd17c88a726268bec2de,8e9abc21-7629-498f-a17f-8775ef5f0387,2024-03-24 09:58:45,2024-03-24 10:14:47.660,0
6600092ce6ccc62f82a322a9,b317fef8-c92f-4535-bd04-c19a522b55cb,2024-03-24 10:30:31,2024-03-24 11:06:19.458,0
66001c7c58ea0c299cd90021,b1c82031-919e-4d06-bdcf-d39a5f4fd571,2024-03-24 12:13:41,2024-03-24 12:28:44.508,0
